path	sha256	provenance_era	source_family	evidence_grade	extracted_ruling	current_use
LIVE.md	abea79f197cb9558bb94ce33d8f24b69b04b98fdaa67833eae63ca6037fb1d0b	PRE_JULY1	CONTROL	CURRENT_NAVIGATION	Current caveated boundary ruling and authority limit	YES_CONTROL
UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	4bb0da9098da0a9970602e2449615eef151796b0d7fe7a9978f4b66145748a34	JULY1_OR_LATER	OWNER_FOUNDATION	FOUNDING	Local common scale is calibrational; scale must emerge, but no emergence equation is supplied	YES_STRUCTURE
UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	ce14075bad1ff4b6ea9b41e35dc6b63dfc5a9ae13478bd57c80b1502f33fb540	JULY1_OR_LATER	OWNER_WORKING	WORKING	Matter-bearing complete solutions occupy a narrow total-density window; center and width are not supplied	YES_WORKING_ONLY
UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	db4a426b021e375fa4bca0d870aaf973de319de3b08072195d001a056630832d	JULY1_OR_LATER	CURRENT_SELECTOR	CONDITIONAL_OPEN	Action, variation, and boundary selectors remain open	YES_STATUS_ONLY
UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	bd82e07c252fa3aa055e9e4029b964f8a4e415fd50097dd5cec8a6ba928850a1	JULY1_OR_LATER	OWNER_CLARIFICATION	WORKING_LEAD	Xmax=alpha*G*M/c^2 is dimensional only and needs an independent native closure	YES_STATUS_ONLY
archive/native_action_chat_2026-07-14_15/UDT_FINITE_CELL_BOUNDARY_DERIVATION_RESULTS.md	757b007426a67b8657cbd44d8b20aa809ce00f6a6b04456b791d5dad5e3594a4	JULY1_OR_LATER	ARCHIVED_BOUNDARY_REPORT	POST_JULY_CONDITIONAL	Boundary primitive and normalized mass are not fixed by fold values	YES_CONDITIONAL
archive/native_action_chat_2026-07-14_15/UDT_FOUNDING_TO_DYNAMICS_DERIVATION_RESULTS.md	8af8653b8b887fe1f8c9eb9e0b7ebe2e54b68fd6ed5081023d0e2a38c8b14e99	JULY1_OR_LATER	ARCHIVED_DYNAMICS_REPORT	POST_JULY_CONDITIONAL	Action rescaling/total derivatives preserve bulk equations while shifting generators	YES_COUNTEREXAMPLE
archive/native_action_chat_2026-07-14_15/UDT_GLOBAL_BOOTSTRAP_DERIVATION_RESULTS.md	514a97ede04db9c568875d488c67ec28c138af58b57401998cf17f434e234cbb	JULY1_OR_LATER	ARCHIVED_BOOTSTRAP_REPORT	POST_JULY_CONDITIONAL	Earlier attempted closure remains premise-scoped and non-authoritative	CONTEXT_ONLY
archive/native_action_chat_2026-07-14_15/UDT_WRL_SOLUTION_SPACE_CLOSURE_DERIVATION_RESULTS.md	66356f4d18874d6452be5ae15364d71ce1b51ca08e5d127602bd3a31586a8c1e	JULY1_OR_LATER	ARCHIVED_WRL_REPORT	POST_JULY_CONDITIONAL	Finite raw lapse flux is radius-dependent and unnormalized	YES_CONDITIONAL
archive/native_action_chat_2026-07-14_15/verify_udt_finite_cell_boundary.py	4a0ddb858fa06cad7883ff076f20bb9c6f62079e8bc8e7646b2f6a06809ae796	JULY1_OR_LATER	ARCHIVED_BOUNDARY_EXECUTABLE	RERUN_ONLY	Exact total-derivative and boundary-shift algebra; no action selection	YES_ALGEBRA_ONLY
archive/native_action_chat_2026-07-14_15/verify_udt_wrl_solution_space_closure.py	d76c079e7e6865c9955f3332d7c10cea9d9e6dbd237d52767b434334a0801aee	JULY1_OR_LATER	ARCHIVED_WRL_EXECUTABLE	RERUN_ONLY	Exact WR-L flux/curvature algebra; no physical authority	YES_ALGEBRA_ONLY
asymptotic_boundary_lineage_audit_2026-07-19/AUDIT_REPORT.md	bf10dc2d525e26723ee2eb2eaacf368ad8546e76b0a8d3ba0d3baa0b9639d11d	JULY1_OR_LATER	CURRENT_BOUNDARY_AUDIT	VERIFIED_WITH_CAVEATS	WR-L raw wall flux and limits exact; normalized mass and global Xmax join open	YES_BOUNDED
asymptotic_boundary_lineage_audit_2026-07-19/BOUNDARY_OBJECT_LEDGER.tsv	ea6703c6ffb91b0ce8d770877aba0e6a668904be67ec2683f7722a3de2995222	JULY1_OR_LATER	CURRENT_BOUNDARY_AUDIT	VERIFIED_WITH_CAVEATS	WR-L raw wall flux and limits exact; normalized mass and global Xmax join open	YES_BOUNDED
asymptotic_boundary_lineage_audit_2026-07-19/DERIVATION_RESULT.json	0c250a4b77777c3b8cfbafc47b04ab645254acb073faac93f3e7482eafa0b5e1	JULY1_OR_LATER	CURRENT_BOUNDARY_AUDIT	DERIVED_METRIC	WR-L raw wall flux and limits exact; normalized mass and global Xmax join open	YES_BOUNDED
asymptotic_boundary_lineage_audit_2026-07-19/GLOBAL_CLOSURE_EQUATION_LEDGER.tsv	cf026251e499304e2bd35cf93a1b7ed399f96fc5acada978ba53c2ce3f8b6f2a	JULY1_OR_LATER	CURRENT_BOUNDARY_AUDIT	VERIFIED_WITH_CAVEATS	WR-L raw wall flux and limits exact; normalized mass and global Xmax join open	YES_BOUNDED
asymptotic_boundary_lineage_audit_2026-07-19/MASS_PROVENANCE_LEDGER.tsv	ea607e7526103dd9ed89a2fcb320e70c9695c58847c6d6f24ca986a3a8c8d353	JULY1_OR_LATER	CURRENT_BOUNDARY_AUDIT	VERIFIED_WITH_CAVEATS	WR-L raw wall flux and limits exact; normalized mass and global Xmax join open	YES_BOUNDED
asymptotic_boundary_lineage_audit_2026-07-19/QUANTITY_LIMIT_LEDGER.tsv	6266b58edb322a28febeef74bb3a906399088e3d71374c1cfec8f9f9da3fbc52	JULY1_OR_LATER	CURRENT_BOUNDARY_AUDIT	DERIVED_METRIC	WR-L raw wall flux and limits exact; normalized mass and global Xmax join open	YES_BOUNDED
asymptotic_boundary_lineage_audit_2026-07-19/STATUS_LEDGER.tsv	8d227adc2463acbabe3367b84240d7cbc31f49f7f84bbb7a89b2e95371407221	JULY1_OR_LATER	CURRENT_BOUNDARY_AUDIT	VERIFIED_WITH_CAVEATS	WR-L raw wall flux and limits exact; normalized mass and global Xmax join open	YES_BOUNDED
bootstrap_variation_selector_2026-07-18/DERIVATION_REPORT.md	05a84a7bfeca3d78c628a3a6a343463db11497d66c5889ac0590655728d056f9	JULY1_OR_LATER	CURRENT_BOOTSTRAP_AUDIT	UNDERDETERMINED	Bootstrap is on-shell admissibility and does not select variation placement or action	YES_STATUS_ONLY
bootstrap_variation_selector_2026-07-18/STATUS_LEDGER.tsv	d271b483a02e0732bbab7f597b59827810586894ea29a8717f3cfff3c87949e6	JULY1_OR_LATER	CURRENT_BOOTSTRAP_AUDIT	UNDERDETERMINED	Bootstrap is on-shell admissibility and does not select variation placement or action	YES_STATUS_ONLY
native_action_arm_c_2026-07-18/ARM_C_RETURN/ARM_C_REPORT.md	de865916f880284ee25467346d839d94215cbc0bfb2992814d200cbeec806b0a	JULY1_OR_LATER	FROZEN_ARM_C	ADVERSARIAL_EVIDENCE	Boundary/action ambiguities and mass-priority challenge	YES_CHALLENGE
native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md	71ed06c21c3ef683d0579f2a883584b4f612de4f1b09e16300702b204d437eda	JULY1_OR_LATER	FINAL_ABC_ADJUDICATION	CURRENT_STATUS	Normalized finite-cell charge and complete action remain open	YES_STATUS_ONLY
native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	70cab9d5e10b03e0e3418129b67155e01d9f805c4397c69ef8795c4d2aaa5dfd	JULY1_OR_LATER	FINAL_ABC_ADJUDICATION	CURRENT_STATUS	Normalized finite-cell charge and complete action remain open	YES_STATUS_ONLY
native_action_stage1_2026-07-18/arm_A/cold_output/D0_D5.md	22804ff3c744b8857481908cd4cb7bc8775c67a158de58cf570c0fea924e4ddb	JULY1_OR_LATER	FROZEN_STAGE_I	COLD_DERIVATION_EVIDENCE	Action countermodels and branch-relative fluxes show non-uniqueness	YES_CONDITIONAL
native_action_stage1_2026-07-18/arm_B/cold_output/D0_D5.md	07f9519049d0993d35dbbc68f86ffe1f7da1339e1eb888dbdfe90a75ac34ba68	JULY1_OR_LATER	FROZEN_STAGE_I	COLD_DERIVATION_EVIDENCE	Action countermodels and branch-relative fluxes show non-uniqueness	YES_CONDITIONAL
native_action_stage2_2026-07-18/arm_A/D6_RETURN/D6.md	3380ace0a38f46eaff2401213cab12aa13750be1df38f61211435caf73d6bd93	JULY1_OR_LATER	FROZEN_STAGE_II	HISTORICAL_CHALLENGE_RESPONSE	Conditional mass/virial and boundary findings under disclosed packet	YES_CONDITIONAL
native_action_stage2_2026-07-18/arm_B/D6_RETURN/D6.md	8675e851e9f39f9a60130fbffc9522a1ce01a3728db8a29a54095bdef7bd9d2a	JULY1_OR_LATER	FROZEN_STAGE_II	HISTORICAL_CHALLENGE_RESPONSE	Conditional mass/virial and boundary findings under disclosed packet	YES_CONDITIONAL
